TargetID	ProbeID	1377192003_A.AVG_Signal	1377192003_A.Detection Pval	1377192003_B.AVG_Signal	1377192003_B.Detection Pval	1377192003_C.AVG_Signal	1377192003_C.Detection Pval	1377192003_D.AVG_Signal	1377192003_D.Detection Pval	1377192003_E.AVG_Signal	1377192003_E.Detection Pval	1377192003_F.AVG_Signal	1377192003_F.Detection Pval	1377192004_A.AVG_Signal	1377192004_A.Detection Pval	1377192004_B.AVG_Signal	1377192004_B.Detection Pval	1377192004_C.AVG_Signal	1377192004_C.Detection Pval	1377192004_D.AVG_Signal	1377192004_D.Detection Pval	1377192004_E.AVG_Signal	1377192004_E.Detection Pval	1377192004_F.AVG_Signal	1377192004_F.Detection Pval	1377192007_A.AVG_Signal	1377192007_A.Detection Pval	1377192007_B.AVG_Signal	1377192007_B.Detection Pval	1377192007_C.AVG_Signal	1377192007_C.Detection Pval	1377192007_D.AVG_Signal	1377192007_D.Detection Pval	1377192007_E.AVG_Signal	1377192007_E.Detection Pval	1377192007_F.AVG_Signal	1377192007_F.Detection Pval	1377192008_A.AVG_Signal	1377192008_A.Detection Pval	1377192008_B.AVG_Signal	1377192008_B.Detection Pval	1377192008_C.AVG_Signal	1377192008_C.Detection Pval	1377192008_D.AVG_Signal	1377192008_D.Detection Pval	1377192008_E.AVG_Signal	1377192008_E.Detection Pval	1377192008_F.AVG_Signal	1377192008_F.Detection Pval	1377192013_A.AVG_Signal	1377192013_A.Detection Pval	1377192013_B.AVG_Signal	1377192013_B.Detection Pval	1377192013_C.AVG_Signal	1377192013_C.Detection Pval	1377192013_D.AVG_Signal	1377192013_D.Detection Pval	1377192013_E.AVG_Signal	1377192013_E.Detection Pval	1377192013_F.AVG_Signal	1377192013_F.Detection Pval	1377192014_A.AVG_Signal	1377192014_A.Detection Pval	1377192014_B.AVG_Signal	1377192014_B.Detection Pval	1377192014_C.AVG_Signal	1377192014_C.Detection Pval	1377192014_D.AVG_Signal	1377192014_D.Detection Pval	1377192014_E.AVG_Signal	1377192014_E.Detection Pval	1377192014_F.AVG_Signal	1377192014_F.Detection Pval	1377192019_A.AVG_Signal	1377192019_A.Detection Pval	1377192019_B.AVG_Signal	1377192019_B.Detection Pval	1377192019_C.AVG_Signal	1377192019_C.Detection Pval	1377192019_D.AVG_Signal	1377192019_D.Detection Pval	1377192019_E.AVG_Signal	1377192019_E.Detection Pval	1377192019_F.AVG_Signal	1377192019_F.Detection Pval	1377192020_A.AVG_Signal	1377192020_A.Detection Pval	1377192020_B.AVG_Signal	1377192020_B.Detection Pval	1377192020_C.AVG_Signal	1377192020_C.Detection Pval	1377192020_D.AVG_Signal	1377192020_D.Detection Pval	1377192020_E.AVG_Signal	1377192020_E.Detection Pval	1377192020_F.AVG_Signal	1377192020_F.Detection Pval
biotin	100640061	11382.5	0	12893.18	0	13280.88	0	14722.34	0	14167.34	0	14592.07	0	14012.2	0	14486.77	0	13390.65	0	13071.97	0	14043.48	0	14416.93	0	11171.95	0	13947.17	0	13866.58	0	13012.22	0	12916.39	0	12064.89	0	11104.5	0	14186.53	0	13819.92	0	12888.83	0	13275.37	0	11182.98	0	14682.09	0	13562.12	0	14384.65	0	13914.8	0	14103.25	0	13490.93	0	14849.67	0	8051.692	0	13302.84	0	12845	0	9227.829	0	12557.64	0	14103.72	0	13729.95	0	12963.57	0	13016.6	0	11646.93	0	11573.93	0	13700.52	0	14376.92	0	12688.07	0	13023.61	0	13966.84	0	14275.66	0
biotin	640061	10383.84	0	11460.96	0	12201.81	0	13060.7	0	12797.87	0	12807.95	0	12567.18	0	12750.13	0	13622.53	0	11367.13	0	13119.19	0	13848.98	0	8596.777	0	11858.64	0	11776.61	0	11719.17	0	12061.14	0	9734.999	0	8961.494	0	11354.85	0	12236.32	0	10988.63	0	11302.76	0	9858.788	0	12903.95	0	13380.82	0	11786.69	0	11212.19	0	12360.53	0	11186.59	0	12233.02	0	12759.88	0	11368.02	0	10435.75	0	10869.71	0	10631.93	0	13697.91	0	12940.02	0	11286.86	0	10715.16	0	9765.652	0	9760.795	0	12205.47	0	12530.82	0	11973.52	0	10929.05	0	12411.28	0	11498.8	0
biotin	100560058	10363.31	0	12084.97	0	13339.61	0	13191.27	0	13491.45	0	13654.6	0	12116.32	0	13109.65	0	13190.41	0	11604.91	0	12535.83	0	13200.01	0	10175.95	0	12852.41	0	12761.11	0	12337.04	0	11700.17	0	11018.07	0	9486.252	0	12977.03	0	12356.77	0	11676.37	0	11773.18	0	10040.41	0	12963.68	0	12456.41	0	12764.81	0	11888.88	0	12564.85	0	11685.24	0	12857.82	0	8850.215	0	8659.494	0	11036.21	0	10691.09	0	10611.61	0	12470.47	0	13032.47	0	11844.1	0	11421.37	0	9985.805	0	9786.639	0	12602.75	0	12859.39	0	11707.59	0	11624.96	0	12050.91	0	12087.51	0
biotin	560058	10258.96	0	11704.41	0	12242.63	0	12699.78	0	12949.46	0	11837.65	0	12465.37	0	13037.39	0	13646.29	0	12505.25	0	13255.71	0	14134.07	0	9467.385	0	11716.53	0	11661.72	0	12768.24	0	11803.55	0	10736.9	0	9794.187	0	12344.89	0	12295.03	0	12151.61	0	11579.54	0	10433.72	0	13409.71	0	13699.25	0	12968.91	0	12475.94	0	12694.49	0	12258.05	0	12653.02	0	13352.63	0	12128.03	0	11939.1	0	12526.84	0	10940.41	0	14604.31	0	13596.51	0	12547.9	0	11784.95	0	10720.93	0	10884.82	0	12353.65	0	12602.47	0	12356.22	0	12261.45	0	13317.71	0	11736.44	0
cy3_hyb	350036	14145.08	0	16741.5	0	18222.47	0	18733.74	0	19055.15	0	18463.63	0	21305.43	0	20950.34	0	21873.97	0	18933.39	0	20428.28	0	22038.33	0	15310.46	0	17927.78	0	18232.88	0	17614.52	0	16854.15	0	15427.06	0	14348.91	0	17759.03	0	19217.03	0	16690.71	0	16098.18	0	14817.21	0	24458.11	0	21164.28	0	20765.81	0	20359.18	0	19548.01	0	19360.55	0	19727.38	0	20254.26	0	17956.15	0	18497.98	0	18425.02	0	16696.48	0	27503	0	26974.35	0	23002.78	0	21347.76	0	19492.34	0	19604.14	0	21471.13	0	21166.41	0	20085.16	0	19956.6	0	20961.38	0	19997.24	0
cy3_hyb	100350036	13986.1	0	14890.63	0	16407.42	0	18890.29	0	18523.51	0	19646.79	0	19809.45	0	20496.41	0	18375.82	0	16652.7	0	18425.84	0	18997.65	0	14846.44	0	18421.56	0	17504.51	0	17115.5	0	15777.32	0	14499.63	0	13107.68	0	17510.38	0	17567.04	0	15677.65	0	16655.75	0	13855.69	0	20344.36	0	18161.34	0	20567.77	0	18882.9	0	17237.92	0	18086.86	0	18417.7	0	13189.82	0	11612.69	0	16985.23	0	12141.42	0	16314.98	0	25066.62	0	22664.46	0	23789.3	0	20353.53	0	18927.5	0	17379.65	0	20172.88	0	20437.22	0	20282.92	0	17686.58	0	19393.39	0	19398.16	0
cy3_hyb	410045	10013.66	0	10100.67	0	11448.14	0	14024.11	0	12642.7	0	12158.33	0	14489.35	0	15576.3	0	15111.15	0	12375.38	0	13232.91	0	13957.78	0	8508.763	0	10570.61	0	10915.59	0	10993.08	0	10490.23	0	9019.69	0	7692.563	0	11108.42	0	10880.92	0	10425.64	0	9811.657	0	7947.774	0	13541.58	0	14679.97	0	11708.04	0	11139.62	0	12107.38	0	11410.83	0	11550.11	0	13333.85	0	10877.12	0	10747.37	0	10797.17	0	10175.79	0	17684.82	0	16740.47	0	16060.81	0	13401.3	0	12576	0	11619.42	0	14739.57	0	14601.57	0	13121.27	0	12339.91	0	13475.93	0	12832.44	0
cy3_hyb	100410045	17039.44	0	19208.07	0	19310.18	0	22215.79	0	22360.5	0	24369.05	0	24800.27	0	27835	0	24907.11	0	21703.08	0	22241.81	0	23909.01	0	18905.84	0	22010.41	0	20120.15	0	20391.55	0	20252.96	0	17982.56	0	17112.04	0	22091.92	0	21734.72	0	18559.87	0	19136.96	0	17991.07	0	26424	0	22856.49	0	25329.89	0	22950.38	0	22753.14	0	22754.97	0	23292.46	0	14368.4	0	15284.72	0	21700.75	0	19294.53	0	19345.19	0	29543.3	0	28088.63	0	27066.42	0	26987.28	0	24578.97	0	23350.31	0	23217.61	0	23255.39	0	21681.77	0	22602.31	0	23888.04	0	23964	0
cy3_hyb	190006	3645.243	0	4138.491	0	4398.602	0	4757.097	0	4082.526	0	4642.826	0	5083.671	0	5011.523	0	5075.984	0	4580.394	0	4679.979	0	4984.933	0	3339.694	0	4221.072	0	4313.594	0	4347.939	0	3860.702	0	3614.603	0	3170.447	0	4264.699	0	4335.208	0	3944.42	0	3874.23	0	3291.422	0	5126.168	0	5254.277	0	4686.588	0	4402.944	0	4262.393	0	4205.67	0	4295.954	0	5052.436	0	4275.708	0	4122.637	0	3735.607	0	3552.412	0	6555.284	0	6209.434	0	4894.169	0	4822.473	0	4552.14	0	4669.249	0	5298.55	0	5719.046	0	5094.495	0	4336.455	0	4974.389	0	4526.91	0
cy3_hyb	100190006	3659.429	0	3991.393	0	4710.301	0	5183.333	0	4857.587	0	5332.501	0	5106.363	0	5591.494	0	4957.353	0	4373.331	0	4706.486	0	5094.135	0	3746.207	0	4624.538	0	4832.416	0	4432.885	0	4359.325	0	3948.887	0	3275.616	0	5000.925	0	4569.781	0	3858.37	0	3852.385	0	3441.67	0	5546.237	0	5293.164	0	5337.882	0	4928.839	0	4892.58	0	4701.25	0	4893.496	0	2913.96	0	2675.715	0	4339.618	0	3830.178	0	4046.498	0	6243.731	0	5845.795	0	6094.289	0	5431.377	0	4832.229	0	5299.436	0	5425.384	0	5100.645	0	5048.597	0	4882.61	0	5169.24	0	5370.009	0
