ArrayNo Image1 xyInfo1 SpikeConc
1377192001_A_1 1377192001_A_1_Grn.tif 1377192001_A_1.csv 1000
1377192001_A_2 1377192001_A_2_Grn.tif 1377192001_A_2.csv 1000
1377192001_B_1 1377192001_B_1_Grn.tif 1377192001_B_1.csv 300
1377192001_B_2 1377192001_B_2_Grn.tif 1377192001_B_2.csv 300
1377192001_C_1 1377192001_C_1_Grn.tif 1377192001_C_1.csv 100
1377192001_C_2 1377192001_C_2_Grn.tif 1377192001_C_2.csv 100
1377192001_D_1 1377192001_D_1_Grn.tif 1377192001_D_1.csv 30
1377192001_D_2 1377192001_D_2_Grn.tif 1377192001_D_2.csv 30
1377192001_E_1 1377192001_E_1_Grn.tif 1377192001_E_1.csv 10
1377192001_E_2 1377192001_E_2_Grn.tif 1377192001_E_2.csv 10
1377192001_F_1 1377192001_F_1_Grn.tif 1377192001_F_1.csv 3
1377192001_F_2 1377192001_F_2_Grn.tif 1377192001_F_2.csv 3
1377192002_A_1 1377192002_A_1_Grn.tif 1377192002_A_1.csv 1000
1377192002_A_2 1377192002_A_2_Grn.tif 1377192002_A_2.csv 1000
1377192002_B_1 1377192002_B_1_Grn.tif 1377192002_B_1.csv 300
1377192002_B_2 1377192002_B_2_Grn.tif 1377192002_B_2.csv 300
1377192002_C_1 1377192002_C_1_Grn.tif 1377192002_C_1.csv 100
1377192002_C_2 1377192002_C_2_Grn.tif 1377192002_C_2.csv 100
1377192002_D_1 1377192002_D_1_Grn.tif 1377192002_D_1.csv 30
1377192002_D_2 1377192002_D_2_Grn.tif 1377192002_D_2.csv 30
1377192002_E_1 1377192002_E_1_Grn.tif 1377192002_E_1.csv 10
1377192002_E_2 1377192002_E_2_Grn.tif 1377192002_E_2.csv 10
1377192002_F_1 1377192002_F_1_Grn.tif 1377192002_F_1.csv 3
1377192002_F_2 1377192002_F_2_Grn.tif 1377192002_F_2.csv 3
1377192007_A_1 1377192007_A_1_Grn.tif 1377192007_A_1.csv 1000
1377192007_A_2 1377192007_A_2_Grn.tif 1377192007_A_2.csv 1000
1377192007_B_1 1377192007_B_1_Grn.tif 1377192007_B_1.csv 300
1377192007_B_2 1377192007_B_2_Grn.tif 1377192007_B_2.csv 300
1377192007_C_1 1377192007_C_1_Grn.tif 1377192007_C_1.csv 100
1377192007_C_2 1377192007_C_2_Grn.tif 1377192007_C_2.csv 100
1377192007_D_1 1377192007_D_1_Grn.tif 1377192007_D_1.csv 30
1377192007_D_2 1377192007_D_2_Grn.tif 1377192007_D_2.csv 30
1377192007_E_1 1377192007_E_1_Grn.tif 1377192007_E_1.csv 10
1377192007_E_2 1377192007_E_2_Grn.tif 1377192007_E_2.csv 10
1377192007_F_1 1377192007_F_1_Grn.tif 1377192007_F_1.csv 3
1377192007_F_2 1377192007_F_2_Grn.tif 1377192007_F_2.csv 3
1377192008_A_1 1377192008_A_1_Grn.tif 1377192008_A_1.csv 1000
1377192008_A_2 1377192008_A_2_Grn.tif 1377192008_A_2.csv 1000
1377192008_B_1 1377192008_B_1_Grn.tif 1377192008_B_1.csv 300
1377192008_B_2 1377192008_B_2_Grn.tif 1377192008_B_2.csv 300
1377192008_C_1 1377192008_C_1_Grn.tif 1377192008_C_1.csv 100
1377192008_C_2 1377192008_C_2_Grn.tif 1377192008_C_2.csv 100
1377192008_D_1 1377192008_D_1_Grn.tif 1377192008_D_1.csv 30
1377192008_D_2 1377192008_D_2_Grn.tif 1377192008_D_2.csv 30
1377192008_E_1 1377192008_E_1_Grn.tif 1377192008_E_1.csv 10
1377192008_E_2 1377192008_E_2_Grn.tif 1377192008_E_2.csv 10
1377192008_F_1 1377192008_F_1_Grn.tif 1377192008_F_1.csv 3
1377192008_F_2 1377192008_F_2_Grn.tif 1377192008_F_2.csv 3
1377192013_A_1 1377192013_A_1_Grn.tif 1377192013_A_1.csv 1
1377192013_A_2 1377192013_A_2_Grn.tif 1377192013_A_2.csv 1
1377192013_B_1 1377192013_B_1_Grn.tif 1377192013_B_1.csv 0.3
1377192013_B_2 1377192013_B_2_Grn.tif 1377192013_B_2.csv 0.3
1377192013_C_1 1377192013_C_1_Grn.tif 1377192013_C_1.csv 0.1
1377192013_C_2 1377192013_C_2_Grn.tif 1377192013_C_2.csv 0.1
1377192013_D_1 1377192013_D_1_Grn.tif 1377192013_D_1.csv 0.03
1377192013_D_2 1377192013_D_2_Grn.tif 1377192013_D_2.csv 0.03
1377192013_E_1 1377192013_E_1_Grn.tif 1377192013_E_1.csv 0.01
1377192013_E_2 1377192013_E_2_Grn.tif 1377192013_E_2.csv 0.01
1377192013_F_1 1377192013_F_1_Grn.tif 1377192013_F_1.csv 0
1377192013_F_2 1377192013_F_2_Grn.tif 1377192013_F_2.csv 0
1377192014_A_1 1377192014_A_1_Grn.tif 1377192014_A_1.csv 1
1377192014_A_2 1377192014_A_2_Grn.tif 1377192014_A_2.csv 1
1377192014_B_1 1377192014_B_1_Grn.tif 1377192014_B_1.csv 0.3
1377192014_B_2 1377192014_B_2_Grn.tif 1377192014_B_2.csv 0.3
1377192014_C_1 1377192014_C_1_Grn.tif 1377192014_C_1.csv 0.1
1377192014_C_2 1377192014_C_2_Grn.tif 1377192014_C_2.csv 0.1
1377192014_D_1 1377192014_D_1_Grn.tif 1377192014_D_1.csv 0.03
1377192014_D_2 1377192014_D_2_Grn.tif 1377192014_D_2.csv 0.03
1377192014_E_1 1377192014_E_1_Grn.tif 1377192014_E_1.csv 0.01
1377192014_E_2 1377192014_E_2_Grn.tif 1377192014_E_2.csv 0.01
1377192014_F_1 1377192014_F_1_Grn.tif 1377192014_F_1.csv 0
1377192014_F_2 1377192014_F_2_Grn.tif 1377192014_F_2.csv 0
1377192019_A_1 1377192019_A_1_Grn.tif 1377192019_A_1.csv 1
1377192019_A_2 1377192019_A_2_Grn.tif 1377192019_A_2.csv 1
1377192019_B_1 1377192019_B_1_Grn.tif 1377192019_B_1.csv 0.3
1377192019_B_2 1377192019_B_2_Grn.tif 1377192019_B_2.csv 0.3
1377192019_C_1 1377192019_C_1_Grn.tif 1377192019_C_1.csv 0.1
1377192019_C_2 1377192019_C_2_Grn.tif 1377192019_C_2.csv 0.1
1377192019_D_1 1377192019_D_1_Grn.tif 1377192019_D_1.csv 0.03
1377192019_D_2 1377192019_D_2_Grn.tif 1377192019_D_2.csv 0.03
1377192019_E_1 1377192019_E_1_Grn.tif 1377192019_E_1.csv 0.01
1377192019_E_2 1377192019_E_2_Grn.tif 1377192019_E_2.csv 0.01
1377192019_F_1 1377192019_F_1_Grn.tif 1377192019_F_1.csv 0
1377192019_F_2 1377192019_F_2_Grn.tif 1377192019_F_2.csv 0
1377192020_A_1 1377192020_A_1_Grn.tif 1377192020_A_1.csv 1
1377192020_A_2 1377192020_A_2_Grn.tif 1377192020_A_2.csv 1
1377192020_B_1 1377192020_B_1_Grn.tif 1377192020_B_1.csv 0.3
1377192020_B_2 1377192020_B_2_Grn.tif 1377192020_B_2.csv 0.3
1377192020_C_1 1377192020_C_1_Grn.tif 1377192020_C_1.csv 0.1
1377192020_C_2 1377192020_C_2_Grn.tif 1377192020_C_2.csv 0.1
1377192020_D_1 1377192020_D_1_Grn.tif 1377192020_D_1.csv 0.03
1377192020_D_2 1377192020_D_2_Grn.tif 1377192020_D_2.csv 0.03
1377192020_E_1 1377192020_E_1_Grn.tif 1377192020_E_1.csv 0.01
1377192020_E_2 1377192020_E_2_Grn.tif 1377192020_E_2.csv 0.01
1377192020_F_1 1377192020_F_1_Grn.tif 1377192020_F_1.csv 0
1377192020_F_2 1377192020_F_2_Grn.tif 1377192020_F_2.csv 0
